                                                 Nearest Neighbour Results                                                 
---------------------------------------------------------------------------------------------------------------------------
    Dataset     |  Baseline  |       10%        |       25%        |       50%        |       75%        |       100%      
anneal          |     23.83% | 20.31% (0.94%) * | 18.00% (1.33%) * | 11.18% (0.77%) * |  9.11% (0.37%) * |  7.44% (0.44%) *
audiology       |     74.77% | 60.17% (2.17%) * | 42.00% (2.56%) * | 31.85% (2.13%) * | 29.62% (1.78%) * | 26.47% (1.81%) *
autos           |     67.35% | 64.50% (1.50%) * | 61.40% (2.21%) * | 65.96% (2.02%)   | 52.92% (2.39%) * | 57.37% (0.95%) *
credit-a        |     44.49% | 39.98% (1.05%) * | 41.35% (0.99%) * | 32.04% (1.50%) * | 34.63% (0.79%) * | 34.71% (0.73%) *
hypothyroid     |      7.71% |  8.27% (0.52%) * |  7.33% (0.18%) * |  4.74% (0.14%) * |  5.01% (0.13%) * |  4.79% (0.10%) *
letter          |     96.26% | 16.86% (0.35%) * |  9.61% (0.20%) * |  6.05% (0.08%) * |  4.71% (0.06%) * |  3.93% (0.07%) *
microarray      |     50.20% | 59.47% (2.55%) * | 49.58% (2.36%)   | 42.45% (0.83%) * | 50.71% (0.95%)   | 50.88% (0.60%)  
vote            |     38.63% |  6.45% (1.01%) * | 10.42% (1.16%) * |  8.26% (0.55%) * |  7.12% (0.19%) * |  7.91% (0.39%) *

                                                   Decision Tree Results                                                   
---------------------------------------------------------------------------------------------------------------------------
    Dataset     |  Baseline  |       10%        |       25%        |       50%        |       75%        |       100%      
anneal          |     23.83% |  9.19% (1.44%) * |  3.61% (0.57%) * |  1.45% (0.42%) * |  1.41% (0.25%) * |  0.71% (0.27%) *
audiology       |     74.77% | 62.33% (4.03%) * | 46.40% (4.32%) * | 29.09% (1.55%) * | 22.33% (2.05%) * | 22.74% (2.11%) *
autos           |     67.35% | 70.00% (6.71%)   | 44.80% (6.86%) * | 33.68% (3.30%) * | 29.34% (3.44%) * | 20.97% (2.75%) *
credit-a        |     44.49% | 20.67% (2.18%) * | 12.38% (1.08%) * | 20.04% (1.66%) * | 19.56% (1.44%) * | 19.09% (1.16%) *
hypothyroid     |      7.71% |  2.92% (0.54%) * |  1.57% (0.23%) * |  0.63% (0.11%) * |  0.75% (0.13%) * |  0.61% (0.08%) *
letter          |     96.26% | 28.50% (0.48%) * | 21.56% (0.44%) * | 16.41% (0.24%) * | 13.25% (0.19%) * | 11.85% (0.17%) *
microarray      |     50.20% | 49.13% (4.30%)   | 52.14% (3.23%)   | 52.21% (2.38%) * | 46.60% (1.19%) * | 48.89% (1.26%) *
vote            |     38.63% | 15.00% (2.25%) * |  5.74% (1.33%) * |  6.96% (0.97%) * |  3.13% (0.72%) * |  5.88% (0.58%) *

